DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/18-12:36:15.497247 1900000000 1900000000 1791 2.658 989 2.642 2046 0.505
2022/07/18-12:36:15.514183 1900000000 1900000000 1793 1.976 980 1.960 2043 0.500
2022/07/18-12:36:15.537931 1900000000 1900000000 1791 -2.623 970 -2.639 2037 0.496
2022/07/18-12:36:15.561699 1900000000 1900000000 1792 -1.474 957 -1.490 2031 0.490
2022/07/18-12:36:15.589673 1900000000 1900000000 1795 1.856 940 1.840 2026 0.482
2022/07/18-12:36:15.610489 1900000000 1900000000 1797 -2.459 927 -2.474 2022 0.476
2022/07/18-12:36:15.630583 1900000000 1900000000 1801 2.500 921 2.484 2023 0.472
2022/07/18-12:36:15.655635 1900000000 1900000000 1804 -0.928 914 -0.944 2022 0.469
2022/07/18-12:36:15.679217 1900000000 1900000000 1808 1.227 909 1.211 2024 0.466
2022/07/18-12:36:15.699522 1900000000 1900000000 1813 0.233 900 0.217 2024 0.461
2022/07/18-12:36:15.719691 1900000000 1900000000 1819 1.388 897 1.372 2028 0.458
2022/07/18-12:36:15.747066 1900000000 1900000000 1826 -2.290 883 -2.306 2028 0.451
2022/07/18-12:36:15.763188 1900000000 1900000000 1832 1.920 892 1.904 2037 0.453
2022/07/18-12:36:15.787374 1900000000 1900000000 1839 2.369 885 2.353 2041 0.448
2022/07/18-12:36:15.811214 1900000000 1900000000 1847 0.316 880 0.300 2046 0.445
2022/07/18-12:36:15.835863 1900000000 1900000000 1853 -2.382 878 -2.398 2050 0.442
2022/07/18-12:36:15.854461 1900000000 1900000000 1863 -2.239 878 -2.254 2059 0.441
2022/07/18-12:36:15.876447 1900000000 1900000000 1868 2.873 885 2.857 2067 0.442
2022/07/18-12:36:15.893057 1900000000 1900000000 1875 1.745 879 1.729 2071 0.438
2022/07/18-12:36:15.916757 1900000000 1900000000 1881 -3.072 885 -3.087 2079 0.440
2022/07/18-12:36:15.944764 1900000000 1900000000 1888 -0.634 893 -0.649 2089 0.442
2022/07/18-12:36:15.963737 1900000000 1900000000 1896 1.067 896 1.051 2098 0.442
2022/07/18-12:36:15.987198 1900000000 1900000000 1905 2.816 900 2.801 2107 0.441
2022/07/18-12:36:16.006277 1900000000 1900000000 1910 0.358 911 0.342 2117 0.445
2022/07/18-12:36:16.039673 1900000000 1900000000 1917 -2.893 919 -2.908 2126 0.447
2022/07/18-12:36:16.060911 1900000000 1900000000 1923 0.458 933 0.442 2137 0.452
2022/07/18-12:36:16.091693 1900000000 1900000000 1928 -0.361 945 -0.376 2147 0.456
2022/07/18-12:36:16.105316 1900000000 1900000000 1930 -2.732 951 -2.747 2151 0.458
2022/07/18-12:36:16.125174 1900000000 1900000000 1933 0.953 960 0.938 2158 0.461
2022/07/18-12:36:16.141312 1900000000 1900000000 1936 -0.551 964 -0.566 2162 0.462
2022/07/18-12:36:16.159591 1900000000 1900000000 1936 2.980 981 2.965 2170 0.469
2022/07/18-12:36:16.182612 1900000000 1900000000 1939 0.696 991 0.681 2178 0.472
2022/07/18-12:36:16.211384 1900000000 1900000000 1938 -1.338 1002 -1.353 2182 0.477
2022/07/18-12:36:16.225562 1900000000 1900000000 1938 -1.325 1008 -1.340 2184 0.480
2022/07/18-12:36:16.246430 1900000000 1900000000 1935 0.824 1015 0.809 2185 0.483
2022/07/18-12:36:16.266809 1900000000 1900000000 1933 2.865 1027 2.849 2189 0.488
2022/07/18-12:36:16.285800 1900000000 1900000000 1928 2.935 1038 2.920 2190 0.494
2022/07/18-12:36:16.307041 1900000000 1900000000 1918 2.459 1057 2.444 2190 0.503
2022/07/18-12:36:16.337249 1900000000 1900000000 1912 -1.964 1067 -1.979 2190 0.509
2022/07/18-12:36:16.356793 1900000000 1900000000 1903 -2.256 1078 -2.271 2187 0.515
2022/07/18-12:36:16.383947 1900000000 1900000000 1893 -1.260 1090 -1.275 2184 0.522
2022/07/18-12:36:16.407468 1900000000 1900000000 1886 1.360 1094 1.345 2181 0.526
2022/07/18-12:36:16.431669 1900000000 1900000000 1882 2.204 1106 2.189 2183 0.531
2022/07/18-12:36:16.463429 1900000000 1900000000 1879 -2.401 1106 -2.416 2180 0.532
2022/07/18-12:36:16.490409 1900000000 1900000000 1881 2.120 1102 2.104 2180 0.530
2022/07/18-12:36:16.510748 1900000000 1900000000 1883 -1.058 1098 -1.073 2180 0.528
2022/07/18-12:36:16.525872 1900000000 1900000000 1885 2.939 1094 2.924 2179 0.526
2022/07/18-12:36:16.541652 1900000000 1900000000 1886 -0.259 1097 -0.274 2182 0.527
2022/07/18-12:36:16.572093 1900000000 1900000000 1890 -2.550 1095 -2.565 2184 0.525
2022/07/18-12:36:16.594121 1900000000 1900000000 1892 -0.817 1085 -0.832 2181 0.521
2022/07/18-12:36:16.613657 1900000000 1900000000 1892 0.947 1083 0.932 2180 0.520
2022/07/18-12:36:16.631391 1900000000 1900000000 1895 -2.746 1074 -2.761 2178 0.516
2022/07/18-12:36:16.661143 1900000000 1900000000 1895 1.296 1076 1.281 2179 0.516
2022/07/18-12:36:16.677509 1900000000 1900000000 1896 2.952 1067 2.937 2176 0.513
2022/07/18-12:36:16.696705 1900000000 1900000000 1899 -1.836 1064 -1.851 2177 0.511
2022/07/18-12:36:16.721068 1900000000 1900000000 1902 0.387 1059 0.372 2176 0.508
2022/07/18-12:36:16.750398 1900000000 1900000000 1904 -2.570 1054 -2.585 2177 0.505
