DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/15-12:41:16.539015 1900000000 1900000000 1264 -2.108 1836 1.046 2229 0.968
2022/07/15-12:41:16.559059 1900000000 1900000000 1266 -3.077 1836 0.078 2230 0.967
2022/07/15-12:41:16.578934 1900000000 1900000000 1266 -2.833 1837 0.322 2231 0.967
2022/07/15-12:41:16.597139 1900000000 1900000000 1263 2.754 1836 -0.374 2229 0.969
2022/07/15-12:41:16.625572 1900000000 1900000000 1263 0.015 1836 -3.113 2228 0.968
2022/07/15-12:41:16.643045 1900000000 1900000000 1263 0.214 1836 -2.914 2228 0.968
2022/07/15-12:41:16.674960 1900000000 1900000000 1263 1.648 1837 -1.480 2229 0.969
2022/07/15-12:41:16.699234 1900000000 1900000000 1263 1.048 1837 -2.080 2229 0.969
2022/07/15-12:41:16.721597 1900000000 1900000000 1267 2.705 1834 -0.423 2229 0.966
2022/07/15-12:41:16.739143 1900000000 1900000000 1259 1.918 1838 -1.210 2228 0.970
2022/07/15-12:41:16.763767 1900000000 1900000000 1263 2.216 1837 -0.912 2229 0.968
2022/07/15-12:41:16.783528 1900000000 1900000000 1258 -1.638 1837 1.517 2227 0.970
2022/07/15-12:41:16.805429 1900000000 1900000000 1260 0.468 1837 -2.660 2228 0.969
2022/07/15-12:41:16.827819 1900000000 1900000000 1261 -3.132 1837 0.023 2228 0.969
2022/07/15-12:41:16.859812 1900000000 1900000000 1255 -2.876 1838 0.279 2225 0.972
2022/07/15-12:41:16.883515 1900000000 1900000000 1259 0.640 1836 -2.488 2226 0.970
2022/07/15-12:41:16.904349 1900000000 1900000000 1261 -0.364 1836 2.791 2227 0.969
2022/07/15-12:41:16.923623 1900000000 1900000000 1259 2.887 1837 -0.241 2226 0.970
2022/07/15-12:41:16.941513 1900000000 1900000000 1258 2.930 1836 -0.198 2226 0.970
2022/07/15-12:41:16.962167 1900000000 1900000000 1262 2.483 1836 -0.645 2228 0.969
2022/07/15-12:41:16.979964 1900000000 1900000000 1262 -0.556 1836 2.599 2228 0.968
2022/07/15-12:41:17.004005 1900000000 1900000000 1262 -2.687 1835 0.468 2227 0.968
2022/07/15-12:41:17.023745 1900000000 1900000000 1260 2.366 1835 -0.761 2226 0.969
2022/07/15-12:41:17.047674 1900000000 1900000000 1261 -1.189 1835 1.966 2227 0.969
2022/07/15-12:41:17.071172 1900000000 1900000000 1262 0.491 1836 -2.637 2228 0.968
2022/07/15-12:41:17.095092 1900000000 1900000000 1257 1.610 1838 -1.518 2226 0.971
2022/07/15-12:41:17.117378 1900000000 1900000000 1263 1.218 1835 -1.910 2228 0.968
2022/07/15-12:41:17.140988 1900000000 1900000000 1260 -0.387 1836 2.767 2227 0.969
2022/07/15-12:41:17.171152 1900000000 1900000000 1260 -2.273 1837 0.882 2227 0.970
2022/07/15-12:41:17.188970 1900000000 1900000000 1257 0.957 1836 -2.171 2226 0.970
2022/07/15-12:41:17.223186 1900000000 1900000000 1254 1.297 1838 -1.831 2225 0.972
2022/07/15-12:41:17.238759 1900000000 1900000000 1264 -0.691 1835 2.463 2228 0.968
2022/07/15-12:41:17.258336 1900000000 1900000000 1259 -2.651 1836 0.504 2226 0.970
2022/07/15-12:41:17.288360 1900000000 1900000000 1259 3.080 1836 -0.048 2226 0.970
2022/07/15-12:41:17.307773 1900000000 1900000000 1257 0.314 1835 -2.813 2225 0.970
2022/07/15-12:41:17.333356 1900000000 1900000000 1253 1.780 1836 -1.348 2223 0.972
2022/07/15-12:41:17.349907 1900000000 1900000000 1258 1.311 1837 -1.817 2226 0.970
2022/07/15-12:41:17.377814 1900000000 1900000000 1256 -2.179 1836 0.976 2225 0.971
2022/07/15-12:41:17.400861 1900000000 1900000000 1257 -1.572 1836 1.583 2225 0.970
2022/07/15-12:41:17.423389 1900000000 1900000000 1254 1.502 1836 -1.626 2223 0.971
2022/07/15-12:41:17.448001 1900000000 1900000000 1256 -0.040 1836 3.115 2224 0.971
2022/07/15-12:41:17.467476 1900000000 1900000000 1254 0.640 1837 -2.488 2224 0.972
2022/07/15-12:41:17.487558 1900000000 1900000000 1257 -1.397 1837 1.758 2226 0.971
2022/07/15-12:41:17.515611 1900000000 1900000000 1258 0.344 1835 -2.784 2225 0.970
2022/07/15-12:41:17.536936 1900000000 1900000000 1258 -2.782 1832 0.373 2223 0.969
2022/07/15-12:41:17.565781 1900000000 1900000000 1258 0.786 1829 -2.342 2220 0.968
2022/07/15-12:41:17.586373 1900000000 1900000000 1257 -2.378 1822 0.777 2214 0.967
2022/07/15-12:41:17.613901 1900000000 1900000000 1247 0.167 1818 -2.961 2205 0.969
2022/07/15-12:41:17.637805 1900000000 1900000000 1242 0.989 1813 -2.138 2198 0.970
2022/07/15-12:41:17.659439 1900000000 1900000000 1239 2.154 1809 -0.974 2193 0.970
2022/07/15-12:41:17.675342 1900000000 1900000000 1236 1.561 1805 -1.567 2188 0.970
2022/07/15-12:41:17.693899 1900000000 1900000000 1226 2.455 1802 -0.673 2180 0.973
2022/07/15-12:41:17.716130 1900000000 1900000000 1224 -0.518 1799 2.637 2175 0.973
2022/07/15-12:41:17.728385 1900000000 1900000000 1212 -2.741 1796 0.414 2166 0.977
2022/07/15-12:41:17.753617 1900000000 1900000000 1204 -2.109 1792 1.046 2159 0.979
2022/07/15-12:41:17.775820 1900000000 1900000000 1185 -0.532 1791 2.623 2147 0.986
2022/07/15-12:41:17.815972 1900000000 1900000000 1172 -2.805 1790 0.351 2140 0.991
2022/07/15-12:41:17.836801 1900000000 1900000000 1159 1.908 1790 -1.220 2132 0.996
2022/07/15-12:41:17.858518 1900000000 1900000000 1148 1.680 1790 -1.448 2126 1.001
2022/07/15-12:41:17.880914 1900000000 1900000000 1136 -0.665 1790 2.490 2120 1.005
2022/07/15-12:41:17.905606 1900000000 1900000000 1121 -1.703 1792 1.452 2114 1.012
2022/07/15-12:41:17.925756 1900000000 1900000000 1111 -0.613 1794 2.542 2110 1.016
2022/07/15-12:41:17.944678 1900000000 1900000000 1100 0.625 1796 -2.503 2106 1.021
2022/07/15-12:41:17.962166 1900000000 1900000000 1086 1.564 1799 -1.563 2102 1.028
2022/07/15-12:41:17.981698 1900000000 1900000000 1075 -1.968 1803 1.188 2099 1.033
2022/07/15-12:41:18.012187 1900000000 1900000000 1066 -0.361 1808 2.794 2099 1.038
2022/07/15-12:41:18.026241 1900000000 1900000000 1053 -0.450 1815 2.705 2098 1.045
2022/07/15-12:41:18.049147 1900000000 1900000000 1040 2.958 1819 -0.170 2095 1.051
2022/07/15-12:41:18.073656 1900000000 1900000000 1039 -0.915 1823 2.240 2098 1.053
2022/07/15-12:41:18.087623 1900000000 1900000000 1025 -2.908 1832 0.247 2099 1.060
2022/07/15-12:41:18.120130 1900000000 1900000000 1016 0.614 1839 -2.513 2101 1.066
2022/07/15-12:41:18.137720 1900000000 1900000000 1005 -0.859 1848 2.297 2103 1.073
2022/07/15-12:41:18.164183 1900000000 1900000000 1000 -2.889 1859 0.266 2111 1.077
2022/07/15-12:41:18.194984 1900000000 1900000000 995 -1.388 1866 1.767 2114 1.081
2022/07/15-12:41:18.212988 1900000000 1900000000 994 -0.565 1872 2.590 2120 1.083
2022/07/15-12:41:18.236497 1900000000 1900000000 994 -1.541 1880 1.614 2126 1.084
2022/07/15-12:41:18.247561 1900000000 1900000000 992 -0.237 1886 2.918 2131 1.087
2022/07/15-12:41:18.264921 1900000000 1900000000 996 2.436 1893 -0.692 2139 1.086
2022/07/15-12:41:18.288613 1900000000 1900000000 996 -2.981 1899 0.174 2144 1.088
2022/07/15-12:41:18.309484 1900000000 1900000000 994 1.289 1908 -1.839 2151 1.091
2022/07/15-12:41:18.330843 1900000000 1900000000 999 1.595 1914 -1.533 2159 1.090
2022/07/15-12:41:18.349922 1900000000 1900000000 1001 2.730 1919 -0.398 2164 1.090
2022/07/15-12:41:18.373423 1900000000 1900000000 1015 -2.400 1924 0.755 2176 1.085
2022/07/15-12:41:18.395174 1900000000 1900000000 1021 3.140 1932 0.012 2185 1.085
2022/07/15-12:41:18.417916 1900000000 1900000000 1033 2.959 1937 -0.169 2195 1.081
2022/07/15-12:41:18.439330 1900000000 1900000000 1042 -0.370 1943 2.785 2205 1.079
2022/07/15-12:41:18.454716 1900000000 1900000000 1054 0.550 1946 -2.578 2213 1.075
2022/07/15-12:41:18.473770 1900000000 1900000000 1067 -2.766 1953 0.389 2226 1.071
2022/07/15-12:41:18.510760 1900000000 1900000000 1077 0.751 1958 -2.377 2235 1.068
2022/07/15-12:41:18.531082 1900000000 1900000000 1094 0.662 1960 -2.466 2245 1.062
2022/07/15-12:41:18.546973 1900000000 1900000000 1102 -2.798 1962 0.357 2250 1.059
2022/07/15-12:41:18.562124 1900000000 1900000000 1119 1.256 1964 -1.872 2261 1.053
2022/07/15-12:41:18.590230 1900000000 1900000000 1135 2.726 1966 -0.401 2270 1.047
2022/07/15-12:41:18.617541 1900000000 1900000000 1146 -1.974 1970 1.181 2279 1.044
2022/07/15-12:41:18.641944 1900000000 1900000000 1162 -0.209 1966 2.946 2284 1.037
2022/07/15-12:41:18.663474 1900000000 1900000000 1179 2.810 1965 -0.318 2292 1.030
2022/07/15-12:41:18.686578 1900000000 1900000000 1193 -2.960 1962 0.195 2296 1.025
2022/07/15-12:41:18.704614 1900000000 1900000000 1204 2.695 1959 -0.433 2300 1.020
2022/07/15-12:41:18.728851 1900000000 1900000000 1221 -2.622 1957 0.533 2307 1.013
2022/07/15-12:41:18.751350 1900000000 1900000000 1240 0.034 1952 -3.094 2313 1.005
2022/07/15-12:41:18.769986 1900000000 1900000000 1246 0.810 1949 -2.318 2314 1.002
2022/07/15-12:41:18.791874 1900000000 1900000000 1262 1.535 1944 -1.593 2318 0.995
2022/07/15-12:41:18.811730 1900000000 1900000000 1272 -2.847 1941 0.308 2321 0.991
2022/07/15-12:41:18.835457 1900000000 1900000000 1278 0.309 1938 -2.819 2321 0.988
2022/07/15-12:41:18.859873 1900000000 1900000000 1282 2.159 1937 -0.969 2323 0.986
2022/07/15-12:41:18.885347 1900000000 1900000000 1286 2.742 1936 -0.386 2324 0.985
2022/07/15-12:41:18.906832 1900000000 1900000000 1282 -0.628 1936 2.528 2322 0.986
2022/07/15-12:41:18.926920 1900000000 1900000000 1283 2.979 1937 -0.149 2323 0.986
2022/07/15-12:41:18.946181 1900000000 1900000000 1275 2.245 1939 -0.884 2321 0.989
2022/07/15-12:41:18.966285 1900000000 1900000000 1276 0.071 1938 -3.057 2320 0.989
2022/07/15-12:41:18.987545 1900000000 1900000000 1277 -1.784 1935 1.371 2318 0.988
2022/07/15-12:41:19.006263 1900000000 1900000000 1275 2.261 1935 -0.867 2317 0.988
2022/07/15-12:41:19.032899 1900000000 1900000000 1280 1.280 1932 -1.848 2318 0.986
2022/07/15-12:41:19.047560 1900000000 1900000000 1282 -0.252 1929 2.903 2317 0.984
2022/07/15-12:41:19.073469 1900000000 1900000000 1282 -1.496 1927 1.659 2315 0.984
2022/07/15-12:41:19.099466 1900000000 1900000000 1281 3.063 1928 -0.065 2315 0.984
2022/07/15-12:41:19.119050 1900000000 1900000000 1275 -0.570 1928 2.585 2312 0.987
2022/07/15-12:41:19.151610 1900000000 1900000000 1271 1.897 1931 -1.231 2312 0.989
2022/07/15-12:41:19.176829 1900000000 1900000000 1269 -1.436 1932 1.719 2311 0.990
2022/07/15-12:41:19.196829 1900000000 1900000000 1271 1.860 1932 -1.268 2312 0.989
2022/07/15-12:41:19.222946 1900000000 1900000000 1276 -2.438 1931 0.717 2315 0.987
2022/07/15-12:41:19.241883 1900000000 1900000000 1274 1.137 1932 -1.992 2315 0.988
2022/07/15-12:41:19.259862 1900000000 1900000000 1276 1.168 1933 -1.960 2317 0.987
2022/07/15-12:41:19.277842 1900000000 1900000000 1270 1.072 1938 -2.056 2317 0.991
2022/07/15-12:41:19.307949 1900000000 1900000000 1273 -1.042 1941 2.113 2322 0.990
2022/07/15-12:41:19.331518 1900000000 1900000000 1267 -1.104 1944 2.051 2321 0.993
2022/07/15-12:41:19.356021 1900000000 1900000000 1264 1.059 1947 -2.068 2321 0.995
2022/07/15-12:41:19.380152 1900000000 1900000000 1261 -2.393 1948 0.762 2320 0.996
2022/07/15-12:41:19.410067 1900000000 1900000000 1260 -0.810 1951 2.345 2323 0.997
2022/07/15-12:41:19.427357 1900000000 1900000000 1260 -1.894 1952 1.261 2323 0.997
2022/07/15-12:41:19.455230 1900000000 1900000000 1258 -0.401 1953 2.755 2323 0.999
2022/07/15-12:41:19.470260 1900000000 1900000000 1254 -1.005 1954 2.150 2322 1.000
2022/07/15-12:41:19.495737 1900000000 1900000000 1249 1.297 1956 -1.830 2321 1.002
