DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/26-14:02:05.456504 1900000000 1900000000 870 1.955 1776 -1.166 1977 1.115
2022/07/26-14:02:05.474812 1900000000 1900000000 869 -1.012 1775 2.150 1977 1.116
2022/07/26-14:02:05.494073 1900000000 1900000000 870 0.962 1775 -2.158 1977 1.115
2022/07/26-14:02:05.519271 1900000000 1900000000 870 0.438 1776 -2.683 1978 1.115
2022/07/26-14:02:05.533803 1900000000 1900000000 875 -0.825 1775 2.338 1979 1.113
2022/07/26-14:02:05.561963 1900000000 1900000000 864 -2.999 1775 0.164 1974 1.118
2022/07/26-14:02:05.583485 1900000000 1900000000 873 1.949 1776 -1.172 1979 1.114
2022/07/26-14:02:05.608676 1900000000 1900000000 875 3.078 1775 -0.042 1979 1.113
2022/07/26-14:02:05.636840 1900000000 1900000000 873 -1.741 1775 1.422 1978 1.114
2022/07/26-14:02:05.650398 1900000000 1900000000 874 -2.299 1776 0.864 1979 1.114
2022/07/26-14:02:05.674832 1900000000 1900000000 874 -0.592 1774 2.571 1978 1.113
2022/07/26-14:02:05.691948 1900000000 1900000000 875 1.918 1776 -1.203 1980 1.113
2022/07/26-14:02:05.717320 1900000000 1900000000 866 -2.016 1775 1.146 1975 1.117
2022/07/26-14:02:05.733635 1900000000 1900000000 869 1.876 1775 -1.245 1977 1.115
2022/07/26-14:02:05.753730 1900000000 1900000000 870 -1.346 1776 1.816 1978 1.115
2022/07/26-14:02:05.769763 1900000000 1900000000 866 2.804 1776 -0.316 1976 1.117
2022/07/26-14:02:05.791671 1900000000 1900000000 871 1.051 1775 -2.069 1977 1.115
2022/07/26-14:02:05.811002 1900000000 1900000000 877 -2.817 1775 0.345 1980 1.112
2022/07/26-14:02:05.839024 1900000000 1900000000 873 -1.089 1775 2.073 1978 1.114
2022/07/26-14:02:05.856462 1900000000 1900000000 868 -3.132 1775 0.030 1976 1.116
2022/07/26-14:02:05.871398 1900000000 1900000000 872 0.918 1774 -2.203 1977 1.114
2022/07/26-14:02:05.898398 1900000000 1900000000 869 -2.842 1775 0.320 1977 1.116
2022/07/26-14:02:05.930607 1900000000 1900000000 867 -2.964 1775 0.199 1975 1.116
2022/07/26-14:02:05.949246 1900000000 1900000000 874 2.595 1775 -0.526 1978 1.113
2022/07/26-14:02:05.976367 1900000000 1900000000 877 2.414 1774 -0.707 1979 1.112
2022/07/26-14:02:06.002412 1900000000 1900000000 877 -1.502 1774 1.661 1978 1.112
2022/07/26-14:02:06.026092 1900000000 1900000000 869 -2.247 1775 0.915 1977 1.116
2022/07/26-14:02:06.040342 1900000000 1900000000 871 -2.947 1775 0.215 1977 1.115
2022/07/26-14:02:06.065375 1900000000 1900000000 868 -2.427 1774 0.736 1975 1.116
2022/07/26-14:02:06.085062 1900000000 1900000000 868 2.645 1774 -0.476 1975 1.116
2022/07/26-14:02:06.100961 1900000000 1900000000 870 -1.849 1774 1.313 1976 1.115
2022/07/26-14:02:06.125964 1900000000 1900000000 874 2.397 1774 -0.724 1978 1.113
2022/07/26-14:02:06.146041 1900000000 1900000000 871 1.199 1774 -1.922 1976 1.115
