DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/13-17:44:51.218516 1900000000 1900000000 924 2.355 1770 2.357 1996 1.090
2022/07/13-17:44:51.234006 1900000000 1900000000 930 -0.571 1769 -0.569 1999 1.087
2022/07/13-17:44:51.254382 1900000000 1900000000 939 1.305 1768 1.307 2002 1.083
2022/07/13-17:44:51.279690 1900000000 1900000000 930 0.886 1768 0.888 1998 1.087
2022/07/13-17:44:51.301477 1900000000 1900000000 933 -2.430 1768 -2.428 1999 1.085
2022/07/13-17:44:51.327504 1900000000 1900000000 923 1.272 1769 1.274 1995 1.090
2022/07/13-17:44:51.343015 1900000000 1900000000 928 1.116 1769 1.118 1997 1.088
2022/07/13-17:44:51.370274 1900000000 1900000000 930 0.096 1769 0.098 1998 1.087
2022/07/13-17:44:51.389173 1900000000 1900000000 932 -1.245 1769 -1.243 1999 1.086
2022/07/13-17:44:51.412903 1900000000 1900000000 929 -0.879 1768 -0.878 1997 1.087
2022/07/13-17:44:51.435522 1900000000 1900000000 928 -0.117 1769 -0.115 1997 1.088
2022/07/13-17:44:51.460320 1900000000 1900000000 922 2.657 1769 2.659 1995 1.090
2022/07/13-17:44:51.484321 1900000000 1900000000 927 -2.717 1768 -2.715 1996 1.088
2022/07/13-17:44:51.501171 1900000000 1900000000 927 -1.110 1769 -1.108 1997 1.088
2022/07/13-17:44:51.523983 1900000000 1900000000 927 1.757 1768 1.759 1997 1.088
2022/07/13-17:44:51.549518 1900000000 1900000000 928 1.485 1768 1.487 1997 1.088
2022/07/13-17:44:51.569858 1900000000 1900000000 930 -0.607 1768 -0.605 1997 1.087
2022/07/13-17:44:51.601444 1900000000 1900000000 924 -3.139 1768 -3.137 1995 1.089
2022/07/13-17:44:51.616370 1900000000 1900000000 927 2.481 1768 2.484 1996 1.088
2022/07/13-17:44:51.650622 1900000000 1900000000 926 1.712 1768 1.714 1996 1.088
2022/07/13-17:44:51.666241 1900000000 1900000000 931 1.310 1768 1.312 1998 1.086
2022/07/13-17:44:51.695052 1900000000 1900000000 924 -0.068 1769 -0.066 1995 1.090
2022/07/13-17:44:51.715167 1900000000 1900000000 930 -2.836 1768 -2.834 1997 1.087
2022/07/13-17:44:51.734995 1900000000 1900000000 927 -1.944 1767 -1.942 1996 1.088
2022/07/13-17:44:51.758232 1900000000 1900000000 930 -2.826 1767 -2.823 1997 1.086
2022/07/13-17:44:51.780430 1900000000 1900000000 925 1.692 1768 1.694 1995 1.089
2022/07/13-17:44:51.799154 1900000000 1900000000 927 -0.703 1768 -0.701 1996 1.088
2022/07/13-17:44:51.830391 1900000000 1900000000 925 1.158 1768 1.160 1995 1.089
2022/07/13-17:44:51.852910 1900000000 1900000000 929 -0.545 1767 -0.543 1997 1.087
2022/07/13-17:44:51.873306 1900000000 1900000000 928 2.585 1767 2.587 1996 1.087
2022/07/13-17:44:51.903703 1900000000 1900000000 929 2.704 1767 2.707 1997 1.087
2022/07/13-17:44:51.922186 1900000000 1900000000 934 0.749 1767 0.751 1998 1.085
2022/07/13-17:44:51.954245 1900000000 1900000000 928 -1.224 1767 -1.222 1996 1.087
2022/07/13-17:44:51.973973 1900000000 1900000000 933 2.043 1767 2.045 1999 1.085
2022/07/13-17:44:52.000911 1900000000 1900000000 933 -0.502 1767 -0.500 1998 1.085
2022/07/13-17:44:52.023191 1900000000 1900000000 933 -0.641 1768 -0.639 1999 1.085
2022/07/13-17:44:52.045294 1900000000 1900000000 934 -1.904 1767 -1.902 1999 1.085
2022/07/13-17:44:52.060373 1900000000 1900000000 926 2.923 1768 2.925 1996 1.088
2022/07/13-17:44:52.089754 1900000000 1900000000 928 -0.871 1767 -0.869 1996 1.087
2022/07/13-17:44:52.107307 1900000000 1900000000 923 -0.340 1768 -0.338 1994 1.090
2022/07/13-17:44:52.129933 1900000000 1900000000 924 -3.077 1766 -3.075 1993 1.089
2022/07/13-17:44:52.145660 1900000000 1900000000 929 -1.420 1764 -1.419 1993 1.086
2022/07/13-17:44:52.168738 1900000000 1900000000 920 -1.887 1761 -1.885 1986 1.089
2022/07/13-17:44:52.191064 1900000000 1900000000 916 1.887 1756 1.889 1981 1.090
2022/07/13-17:44:52.219652 1900000000 1900000000 917 1.088 1749 1.090 1974 1.088
2022/07/13-17:44:52.240333 1900000000 1900000000 915 -2.351 1743 -2.349 1969 1.087
2022/07/13-17:44:52.256733 1900000000 1900000000 920 1.810 1737 1.812 1966 1.084
2022/07/13-17:44:52.280195 1900000000 1900000000 919 -0.276 1733 -0.274 1961 1.083
2022/07/13-17:44:52.303064 1900000000 1900000000 926 2.681 1726 2.683 1959 1.078
2022/07/13-17:44:52.321852 1900000000 1900000000 925 -0.199 1720 -0.197 1953 1.077
2022/07/13-17:44:52.341930 1900000000 1900000000 931 1.544 1713 1.546 1950 1.073
2022/07/13-17:44:52.364251 1900000000 1900000000 936 -0.542 1704 -0.540 1944 1.069
2022/07/13-17:44:52.387754 1900000000 1900000000 934 -3.135 1696 -3.133 1937 1.067
2022/07/13-17:44:52.413939 1900000000 1900000000 945 0.055 1687 0.058 1933 1.060
2022/07/13-17:44:52.435377 1900000000 1900000000 952 2.450 1679 2.452 1930 1.055
2022/07/13-17:44:52.452263 1900000000 1900000000 955 -2.075 1673 -2.072 1926 1.052
2022/07/13-17:44:52.476190 1900000000 1900000000 966 2.397 1664 2.400 1924 1.045
2022/07/13-17:44:52.504190 1900000000 1900000000 970 -0.873 1657 -0.870 1920 1.041
2022/07/13-17:44:52.524268 1900000000 1900000000 980 -2.486 1651 -2.483 1919 1.035
2022/07/13-17:44:52.554130 1900000000 1900000000 987 -1.011 1643 -1.007 1917 1.030
2022/07/13-17:44:52.574152 1900000000 1900000000 999 -2.355 1637 -2.352 1918 1.023
2022/07/13-17:44:52.598857 1900000000 1900000000 1005 -2.875 1633 -2.872 1917 1.019
2022/07/13-17:44:52.616827 1900000000 1900000000 1019 -2.632 1626 -2.629 1919 1.011
2022/07/13-17:44:52.643379 1900000000 1900000000 1025 0.850 1622 0.853 1919 1.007
2022/07/13-17:44:52.672605 1900000000 1900000000 1036 2.593 1620 2.597 1923 1.002
2022/07/13-17:44:52.700404 1900000000 1900000000 1041 1.060 1619 1.063 1925 0.999
