DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/26-13:04:51.893690 1900000000 1900000000 855 0.450 1834 -2.672 2024 1.135
2022/07/26-13:04:51.921192 1900000000 1900000000 852 -0.229 1834 2.933 2022 1.136
2022/07/26-13:04:51.942132 1900000000 1900000000 852 -0.842 1834 2.319 2022 1.136
2022/07/26-13:04:51.966803 1900000000 1900000000 853 -3.038 1833 0.124 2021 1.135
2022/07/26-13:04:51.995738 1900000000 1900000000 855 -2.642 1834 0.520 2023 1.134
2022/07/26-13:04:52.027787 1900000000 1900000000 854 -0.632 1833 2.530 2022 1.134
2022/07/26-13:04:52.044617 1900000000 1900000000 854 2.027 1832 -1.094 2022 1.135
2022/07/26-13:04:52.064120 1900000000 1900000000 849 0.442 1834 -2.679 2021 1.137
2022/07/26-13:04:52.087405 1900000000 1900000000 855 -1.833 1832 1.329 2022 1.134
2022/07/26-13:04:52.106706 1900000000 1900000000 855 0.982 1833 -2.139 2023 1.134
2022/07/26-13:04:52.132312 1900000000 1900000000 852 0.892 1832 -2.229 2021 1.135
2022/07/26-13:04:52.148654 1900000000 1900000000 851 1.581 1834 -1.540 2022 1.136
2022/07/26-13:04:52.174112 1900000000 1900000000 854 -0.797 1834 2.365 2023 1.135
2022/07/26-13:04:52.205441 1900000000 1900000000 850 1.210 1833 -1.911 2020 1.137
2022/07/26-13:04:52.225163 1900000000 1900000000 851 1.254 1833 -1.867 2021 1.136
2022/07/26-13:04:52.250024 1900000000 1900000000 859 -0.919 1832 2.242 2024 1.132
2022/07/26-13:04:52.270111 1900000000 1900000000 851 0.166 1834 -2.955 2021 1.136
2022/07/26-13:04:52.284350 1900000000 1900000000 852 0.426 1834 -2.696 2022 1.136
2022/07/26-13:04:52.309287 1900000000 1900000000 856 -1.908 1833 1.253 2023 1.134
2022/07/26-13:04:52.330195 1900000000 1900000000 855 -0.862 1833 2.300 2022 1.134
2022/07/26-13:04:52.347755 1900000000 1900000000 851 -0.140 1834 3.022 2022 1.136
2022/07/26-13:04:52.383739 1900000000 1900000000 845 -1.898 1833 1.264 2018 1.139
2022/07/26-13:04:52.411455 1900000000 1900000000 847 -2.913 1833 0.249 2020 1.138
2022/07/26-13:04:52.432299 1900000000 1900000000 853 -0.288 1832 2.874 2021 1.135
2022/07/26-13:04:52.447676 1900000000 1900000000 848 -0.085 1833 3.077 2019 1.138
2022/07/26-13:04:52.469931 1900000000 1900000000 858 -2.900 1833 0.261 2024 1.133
2022/07/26-13:04:52.502640 1900000000 1900000000 854 2.447 1833 -0.674 2022 1.135
2022/07/26-13:04:52.525486 1900000000 1900000000 857 -2.685 1832 0.477 2022 1.133
2022/07/26-13:04:52.542463 1900000000 1900000000 850 0.368 1833 -2.753 2020 1.137
2022/07/26-13:04:52.560600 1900000000 1900000000 851 1.025 1833 -2.096 2021 1.136
2022/07/26-13:04:52.579730 1900000000 1900000000 846 0.044 1832 -3.077 2018 1.138
2022/07/26-13:04:52.606115 1900000000 1900000000 854 3.065 1833 -0.057 2022 1.135
2022/07/26-13:04:52.623529 1900000000 1900000000 852 1.626 1833 -1.495 2022 1.136
2022/07/26-13:04:52.647982 1900000000 1900000000 853 -0.385 1832 2.776 2021 1.135
2022/07/26-13:04:52.670479 1900000000 1900000000 853 1.953 1833 -1.169 2022 1.135
2022/07/26-13:04:52.696242 1900000000 1900000000 853 -0.726 1833 2.436 2022 1.135
2022/07/26-13:04:52.717026 1900000000 1900000000 851 0.063 1833 -3.058 2021 1.136
2022/07/26-13:04:52.736780 1900000000 1900000000 842 2.144 1832 -0.977 2017 1.140
2022/07/26-13:04:52.755254 1900000000 1900000000 850 1.555 1833 -1.566 2020 1.137
2022/07/26-13:04:52.776086 1900000000 1900000000 847 -1.165 1832 1.996 2018 1.138
2022/07/26-13:04:52.801812 1900000000 1900000000 846 0.526 1832 -2.596 2018 1.138
2022/07/26-13:04:52.822861 1900000000 1900000000 851 -2.684 1832 0.478 2019 1.136
2022/07/26-13:04:52.845298 1900000000 1900000000 842 2.918 1832 -0.204 2016 1.140
2022/07/26-13:04:52.868622 1900000000 1900000000 843 -2.554 1833 0.608 2018 1.140
2022/07/26-13:04:52.881481 1900000000 1900000000 843 -3.076 1832 0.086 2017 1.139
2022/07/26-13:04:52.911449 1900000000 1900000000 844 -1.085 1833 2.077 2018 1.139
2022/07/26-13:04:52.926547 1900000000 1900000000 847 2.754 1833 -0.367 2019 1.138
2022/07/26-13:04:52.946700 1900000000 1900000000 851 -1.160 1832 2.002 2020 1.136
2022/07/26-13:04:52.975095 1900000000 1900000000 852 0.406 1833 -2.716 2021 1.136
2022/07/26-13:04:52.998076 1900000000 1900000000 843 -2.104 1832 1.058 2016 1.140
2022/07/26-13:04:53.019277 1900000000 1900000000 850 -2.806 1832 0.356 2020 1.137
2022/07/26-13:04:53.037465 1900000000 1900000000 851 1.301 1833 -1.820 2021 1.136
2022/07/26-13:04:53.058469 1900000000 1900000000 849 -0.838 1833 2.325 2020 1.137
2022/07/26-13:04:53.081782 1900000000 1900000000 853 2.033 1832 -1.088 2020 1.135
2022/07/26-13:04:53.106620 1900000000 1900000000 848 2.266 1832 -0.856 2019 1.137
2022/07/26-13:04:53.124888 1900000000 1900000000 844 1.562 1833 -1.559 2018 1.139
2022/07/26-13:04:53.151076 1900000000 1900000000 850 -2.930 1832 0.232 2020 1.136
2022/07/26-13:04:53.175343 1900000000 1900000000 846 -0.145 1833 3.017 2019 1.138
2022/07/26-13:04:53.196052 1900000000 1900000000 851 0.991 1833 -2.131 2021 1.136
2022/07/26-13:04:53.215414 1900000000 1900000000 850 -2.625 1832 0.537 2020 1.136
2022/07/26-13:04:53.238862 1900000000 1900000000 847 0.336 1832 -2.785 2018 1.138
2022/07/26-13:04:53.251849 1900000000 1900000000 842 -2.695 1832 0.467 2016 1.140
2022/07/26-13:04:53.271235 1900000000 1900000000 850 -1.103 1833 2.059 2020 1.136
2022/07/26-13:04:53.300241 1900000000 1900000000 847 1.306 1833 -1.815 2019 1.138
2022/07/26-13:04:53.323789 1900000000 1900000000 850 2.843 1833 -0.278 2020 1.137
2022/07/26-13:04:53.336495 1900000000 1900000000 849 -0.450 1833 2.712 2020 1.137
2022/07/26-13:04:53.358235 1900000000 1900000000 843 2.607 1832 -0.514 2017 1.140
2022/07/26-13:04:53.382745 1900000000 1900000000 848 0.547 1831 -2.574 2018 1.137
2022/07/26-13:04:53.404893 1900000000 1900000000 843 -2.089 1832 1.073 2016 1.140
2022/07/26-13:04:53.420635 1900000000 1900000000 846 2.142 1832 -0.979 2018 1.138
2022/07/26-13:04:53.444913 1900000000 1900000000 843 -3.108 1833 0.053 2017 1.140
2022/07/26-13:04:53.466617 1900000000 1900000000 848 -1.140 1832 2.022 2019 1.137
2022/07/26-13:04:53.489203 1900000000 1900000000 845 0.904 1832 -2.217 2017 1.139
2022/07/26-13:04:53.510289 1900000000 1900000000 851 -2.528 1833 0.634 2021 1.136
2022/07/26-13:04:53.537559 1900000000 1900000000 852 1.351 1832 -1.770 2021 1.136
2022/07/26-13:04:53.556584 1900000000 1900000000 850 1.117 1832 -2.004 2019 1.136
