DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/25-17:55:53.953697 1900000000 1900000000 1686 -0.520 863 -0.536 1895 0.473
2022/07/25-17:55:53.978360 1900000000 1900000000 1686 0.053 858 0.036 1892 0.471
2022/07/25-17:55:54.006268 1900000000 1900000000 1685 -2.986 863 -3.002 1893 0.473
2022/07/25-17:55:54.032175 1900000000 1900000000 1685 1.260 860 1.243 1892 0.472
2022/07/25-17:55:54.052781 1900000000 1900000000 1686 -0.501 856 -0.517 1891 0.470
2022/07/25-17:55:54.072987 1900000000 1900000000 1686 -0.336 862 -0.352 1893 0.473
2022/07/25-17:55:54.088269 1900000000 1900000000 1686 -0.504 857 -0.520 1891 0.470
2022/07/25-17:55:54.116676 1900000000 1900000000 1685 -2.434 857 -2.450 1891 0.471
2022/07/25-17:55:54.134744 1900000000 1900000000 1684 -0.608 854 -0.624 1888 0.469
2022/07/25-17:55:54.155756 1900000000 1900000000 1686 0.147 859 0.131 1892 0.471
2022/07/25-17:55:54.180600 1900000000 1900000000 1685 -2.635 860 -2.651 1892 0.472
2022/07/25-17:55:54.201341 1900000000 1900000000 1685 2.037 861 2.021 1892 0.472
2022/07/25-17:55:54.218362 1900000000 1900000000 1686 -1.380 863 -1.396 1894 0.473
2022/07/25-17:55:54.237210 1900000000 1900000000 1684 0.946 852 0.930 1888 0.469
2022/07/25-17:55:54.262541 1900000000 1900000000 1685 -0.198 864 -0.214 1894 0.474
2022/07/25-17:55:54.288487 1900000000 1900000000 1685 -0.365 861 -0.381 1893 0.472
2022/07/25-17:55:54.313140 1900000000 1900000000 1685 -1.236 864 -1.253 1893 0.474
2022/07/25-17:55:54.342519 1900000000 1900000000 1685 -2.694 863 -2.710 1893 0.474
2022/07/25-17:55:54.360832 1900000000 1900000000 1685 2.919 865 2.902 1894 0.474
2022/07/25-17:55:54.385825 1900000000 1900000000 1684 1.781 862 1.765 1892 0.473
2022/07/25-17:55:54.406440 1900000000 1900000000 1685 -1.094 865 -1.110 1894 0.474
