DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/11-12:31:34.861849 1900000000 1900000000 1926 -2.396 898 -2.408 2125 0.436
2022/07/11-12:31:34.894909 1900000000 1900000000 1926 0.047 896 0.035 2124 0.436
2022/07/11-12:31:34.908131 1900000000 1900000000 1926 -3.116 886 -3.128 2119 0.431
2022/07/11-12:31:34.933177 1900000000 1900000000 1926 2.252 891 2.240 2122 0.433
2022/07/11-12:31:34.953011 1900000000 1900000000 1925 -1.981 887 -1.993 2119 0.432
2022/07/11-12:31:34.973753 1900000000 1900000000 1923 -2.675 889 -2.688 2119 0.433
2022/07/11-12:31:34.996747 1900000000 1900000000 1925 -0.529 891 -0.541 2122 0.434
2022/07/11-12:31:35.016590 1900000000 1900000000 1925 0.090 892 0.077 2122 0.434
2022/07/11-12:31:35.035476 1900000000 1900000000 1925 -2.496 892 -2.508 2121 0.434
2022/07/11-12:31:35.057166 1900000000 1900000000 1925 1.581 891 1.568 2122 0.433
2022/07/11-12:31:35.076173 1900000000 1900000000 1924 -2.706 893 -2.718 2121 0.434
2022/07/11-12:31:35.097168 1900000000 1900000000 1924 -2.750 897 -2.762 2123 0.436
2022/07/11-12:31:35.114395 1900000000 1900000000 1925 2.881 886 2.869 2119 0.432
2022/07/11-12:31:35.137233 1900000000 1900000000 1925 0.796 890 0.784 2121 0.433
2022/07/11-12:31:35.157806 1900000000 1900000000 1924 1.698 889 1.686 2120 0.433
2022/07/11-12:31:35.183807 1900000000 1900000000 1924 1.247 889 1.235 2119 0.433
2022/07/11-12:31:35.206565 1900000000 1900000000 1925 -0.512 892 -0.525 2122 0.434
2022/07/11-12:31:35.228175 1900000000 1900000000 1925 -0.730 890 -0.742 2121 0.433
2022/07/11-12:31:35.256557 1900000000 1900000000 1923 -0.020 889 -0.032 2119 0.433
2022/07/11-12:31:35.270987 1900000000 1900000000 1924 1.043 883 1.031 2117 0.430
