DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/18-12:26:39.048694 1900000000 1900000000 1213 -1.524 1723 1.634 2108 0.957
2022/07/18-12:26:39.076935 1900000000 1900000000 1212 0.709 1725 -2.415 2109 0.958
2022/07/18-12:26:39.090571 1900000000 1900000000 1216 -1.986 1725 1.173 2111 0.957
2022/07/18-12:26:39.109731 1900000000 1900000000 1214 0.195 1725 -2.930 2109 0.958
2022/07/18-12:26:39.128814 1900000000 1900000000 1208 0.412 1726 -2.713 2106 0.960
2022/07/18-12:26:39.155420 1900000000 1900000000 1216 -1.936 1725 1.223 2111 0.957
2022/07/18-12:26:39.171091 1900000000 1900000000 1211 -1.761 1724 1.398 2107 0.959
2022/07/18-12:26:39.189686 1900000000 1900000000 1212 -0.561 1724 2.597 2108 0.958
2022/07/18-12:26:39.213867 1900000000 1900000000 1212 -0.610 1724 2.548 2108 0.958
2022/07/18-12:26:39.233503 1900000000 1900000000 1213 -2.737 1724 0.421 2108 0.958
2022/07/18-12:26:39.253699 1900000000 1900000000 1210 -1.188 1724 1.970 2107 0.959
2022/07/18-12:26:39.279496 1900000000 1900000000 1215 1.807 1724 -1.318 2109 0.957
2022/07/18-12:26:39.293929 1900000000 1900000000 1212 -0.502 1725 2.656 2108 0.958
2022/07/18-12:26:39.315927 1900000000 1900000000 1211 1.193 1724 -1.932 2106 0.959
2022/07/18-12:26:39.339805 1900000000 1900000000 1213 2.966 1724 -0.159 2107 0.958
2022/07/18-12:26:39.353233 1900000000 1900000000 1212 0.042 1724 -3.082 2108 0.958
2022/07/18-12:26:39.380516 1900000000 1900000000 1212 0.550 1724 -2.575 2107 0.958
2022/07/18-12:26:39.402071 1900000000 1900000000 1206 2.357 1724 -0.768 2104 0.961
2022/07/18-12:26:39.424046 1900000000 1900000000 1211 -1.159 1724 2.000 2107 0.959
2022/07/18-12:26:39.454826 1900000000 1900000000 1210 -1.189 1724 1.970 2106 0.959
2022/07/18-12:26:39.475385 1900000000 1900000000 1212 0.885 1724 -2.240 2107 0.958
2022/07/18-12:26:39.495501 1900000000 1900000000 1214 -0.398 1724 2.761 2109 0.958
2022/07/18-12:26:39.515550 1900000000 1900000000 1215 -2.157 1724 1.001 2109 0.957
2022/07/18-12:26:39.536053 1900000000 1900000000 1211 -1.362 1725 1.796 2108 0.959
2022/07/18-12:26:39.556937 1900000000 1900000000 1210 2.576 1725 -0.549 2107 0.959
2022/07/18-12:26:39.573021 1900000000 1900000000 1212 -1.737 1724 1.421 2108 0.958
2022/07/18-12:26:39.605699 1900000000 1900000000 1209 -0.212 1725 2.946 2107 0.960
2022/07/18-12:26:39.623841 1900000000 1900000000 1206 1.905 1726 -1.220 2106 0.961
2022/07/18-12:26:39.639968 1900000000 1900000000 1207 2.601 1725 -0.524 2105 0.960
2022/07/18-12:26:39.663125 1900000000 1900000000 1208 -2.828 1726 0.330 2107 0.960
2022/07/18-12:26:39.689772 1900000000 1900000000 1208 1.673 1725 -1.452 2106 0.960
2022/07/18-12:26:39.706264 1900000000 1900000000 1208 1.978 1725 -1.147 2106 0.960
2022/07/18-12:26:39.731478 1900000000 1900000000 1203 2.478 1726 -0.647 2104 0.962
2022/07/18-12:26:39.756726 1900000000 1900000000 1198 -0.318 1725 2.840 2101 0.964
2022/07/18-12:26:39.776438 1900000000 1900000000 1204 -0.067 1725 3.092 2104 0.961
2022/07/18-12:26:39.803352 1900000000 1900000000 1212 0.672 1725 -2.452 2108 0.959
2022/07/18-12:26:39.819326 1900000000 1900000000 1209 2.391 1724 -0.734 2106 0.959
2022/07/18-12:26:39.836453 1900000000 1900000000 1214 1.490 1724 -1.635 2108 0.957
2022/07/18-12:26:39.867392 1900000000 1900000000 1209 -1.947 1726 1.212 2107 0.960
2022/07/18-12:26:39.887652 1900000000 1900000000 1213 2.933 1724 -0.192 2108 0.958
2022/07/18-12:26:39.908460 1900000000 1900000000 1209 -1.917 1725 1.241 2107 0.960
2022/07/18-12:26:39.932736 1900000000 1900000000 1212 -1.474 1724 1.685 2107 0.958
2022/07/18-12:26:39.951316 1900000000 1900000000 1213 -2.862 1726 0.297 2110 0.958
2022/07/18-12:26:39.972905 1900000000 1900000000 1212 -0.943 1724 2.216 2107 0.958
2022/07/18-12:26:39.996436 1900000000 1900000000 1210 -2.572 1726 0.587 2108 0.959
2022/07/18-12:26:40.020526 1900000000 1900000000 1210 1.680 1725 -1.445 2107 0.959
2022/07/18-12:26:40.049925 1900000000 1900000000 1211 2.296 1724 -0.829 2107 0.958
2022/07/18-12:26:40.073121 1900000000 1900000000 1206 0.145 1726 -2.979 2106 0.961
2022/07/18-12:26:40.094656 1900000000 1900000000 1209 2.784 1726 -0.340 2107 0.960
2022/07/18-12:26:40.118205 1900000000 1900000000 1217 2.715 1723 -0.410 2110 0.956
2022/07/18-12:26:40.135282 1900000000 1900000000 1211 1.891 1725 -1.234 2108 0.959
2022/07/18-12:26:40.158753 1900000000 1900000000 1214 0.829 1723 -2.296 2108 0.957
2022/07/18-12:26:40.179559 1900000000 1900000000 1208 1.020 1725 -2.105 2106 0.960
2022/07/18-12:26:40.205822 1900000000 1900000000 1207 2.484 1726 -0.641 2106 0.960
2022/07/18-12:26:40.223619 1900000000 1900000000 1209 -0.569 1724 2.590 2105 0.959
2022/07/18-12:26:40.245867 1900000000 1900000000 1210 -2.162 1722 0.996 2105 0.958
2022/07/18-12:26:40.264443 1900000000 1900000000 1210 -2.332 1720 0.826 2103 0.958
2022/07/18-12:26:40.290461 1900000000 1900000000 1211 0.647 1716 -2.478 2100 0.957
