DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2022/07/15-12:17:36.488336 1900000000 1900000000 2143 1.454 1118 1.443 2417 0.481
2022/07/15-12:17:36.516930 1900000000 1900000000 2142 -0.010 1117 -0.020 2416 0.481
2022/07/15-12:17:36.545059 1900000000 1900000000 2143 0.693 1119 0.683 2417 0.481
2022/07/15-12:17:36.558737 1900000000 1900000000 2142 -2.965 1118 -2.976 2416 0.481
2022/07/15-12:17:36.582323 1900000000 1900000000 2142 -0.786 1118 -0.797 2417 0.481
2022/07/15-12:17:36.605742 1900000000 1900000000 2143 -0.175 1116 -0.186 2416 0.480
2022/07/15-12:17:36.627376 1900000000 1900000000 2143 -1.042 1118 -1.053 2417 0.481
2022/07/15-12:17:36.646273 1900000000 1900000000 2144 1.363 1118 1.352 2418 0.481
2022/07/15-12:17:36.676300 1900000000 1900000000 2144 -0.752 1118 -0.763 2418 0.481
2022/07/15-12:17:36.703063 1900000000 1900000000 2143 1.376 1113 1.366 2415 0.479
2022/07/15-12:17:36.722140 1900000000 1900000000 2143 -1.676 1119 -1.687 2417 0.481
2022/07/15-12:17:36.750772 1900000000 1900000000 2142 1.547 1117 1.537 2415 0.481
2022/07/15-12:17:36.777694 1900000000 1900000000 2143 2.795 1117 2.785 2416 0.480
2022/07/15-12:17:36.804760 1900000000 1900000000 2142 2.842 1120 2.831 2417 0.482
2022/07/15-12:17:36.815100 1900000000 1900000000 2143 2.207 1116 2.196 2416 0.480
2022/07/15-12:17:36.840170 1900000000 1900000000 2142 -0.040 1117 -0.051 2416 0.481
2022/07/15-12:17:36.860099 1900000000 1900000000 2141 1.767 1117 1.756 2415 0.481
2022/07/15-12:17:36.879649 1900000000 1900000000 2142 2.664 1115 2.653 2415 0.480
2022/07/15-12:17:36.899749 1900000000 1900000000 2143 -2.586 1114 -2.596 2416 0.479
2022/07/15-12:17:36.919138 1900000000 1900000000 2143 -0.750 1113 -0.760 2414 0.479
2022/07/15-12:17:36.935039 1900000000 1900000000 2142 1.558 1113 1.547 2414 0.479
2022/07/15-12:17:36.959602 1900000000 1900000000 2143 -0.741 1116 -0.751 2416 0.480
2022/07/15-12:17:36.982454 1900000000 1900000000 2142 -1.879 1113 -1.889 2414 0.479
2022/07/15-12:17:37.005385 1900000000 1900000000 2141 1.764 1115 1.754 2414 0.480
2022/07/15-12:17:37.032091 1900000000 1900000000 2141 -2.942 1120 -2.953 2416 0.482
2022/07/15-12:17:37.045715 1900000000 1900000000 2142 1.693 1116 1.682 2416 0.480
2022/07/15-12:17:37.071919 1900000000 1900000000 2142 0.161 1115 0.151 2415 0.480
2022/07/15-12:17:37.085675 1900000000 1900000000 2142 -2.574 1114 -2.585 2415 0.480
2022/07/15-12:17:37.109741 1900000000 1900000000 2139 -0.259 1119 -0.270 2414 0.482
2022/07/15-12:17:37.132570 1900000000 1900000000 2141 -0.250 1114 -0.260 2413 0.480
2022/07/15-12:17:37.144514 1900000000 1900000000 2141 2.682 1116 2.671 2414 0.480
2022/07/15-12:17:37.168892 1900000000 1900000000 2142 -2.920 1114 -2.931 2414 0.480
2022/07/15-12:17:37.190178 1900000000 1900000000 2141 1.220 1113 1.209 2413 0.479
2022/07/15-12:17:37.213221 1900000000 1900000000 2142 -0.512 1111 -0.522 2413 0.478
2022/07/15-12:17:37.229256 1900000000 1900000000 2142 -2.936 1114 -2.946 2414 0.479
2022/07/15-12:17:37.253128 1900000000 1900000000 2142 -1.082 1113 -1.093 2414 0.479
2022/07/15-12:17:37.273621 1900000000 1900000000 2140 0.029 1114 0.019 2413 0.480
2022/07/15-12:17:37.305447 1900000000 1900000000 2142 -0.428 1112 -0.438 2413 0.479
2022/07/15-12:17:37.336278 1900000000 1900000000 2142 2.298 1111 2.288 2413 0.478
2022/07/15-12:17:37.354496 1900000000 1900000000 2143 0.150 1112 0.140 2414 0.479
2022/07/15-12:17:37.377223 1900000000 1900000000 2140 -1.824 1116 -1.835 2414 0.481
2022/07/15-12:17:37.401981 1900000000 1900000000 2140 0.607 1117 0.597 2414 0.481
2022/07/15-12:17:37.421462 1900000000 1900000000 2141 1.558 1116 1.547 2414 0.481
2022/07/15-12:17:37.451154 1900000000 1900000000 2141 -1.597 1115 -1.607 2414 0.480
2022/07/15-12:17:37.475754 1900000000 1900000000 2141 -0.034 1113 -0.045 2413 0.479
2022/07/15-12:17:37.493612 1900000000 1900000000 2142 -0.955 1111 -0.965 2413 0.479
2022/07/15-12:17:37.521331 1900000000 1900000000 2141 0.029 1111 0.018 2412 0.479
2022/07/15-12:17:37.560758 1900000000 1900000000 2143 2.840 1108 2.830 2412 0.477
2022/07/15-12:17:37.580295 1900000000 1900000000 2142 1.930 1112 1.920 2414 0.479
2022/07/15-12:17:37.603947 1900000000 1900000000 2141 0.327 1113 0.317 2413 0.480
2022/07/15-12:17:37.634695 1900000000 1900000000 2143 -1.973 1111 -1.984 2413 0.478
2022/07/15-12:17:37.658088 1900000000 1900000000 2141 -0.954 1111 -0.964 2412 0.479
2022/07/15-12:17:37.679206 1900000000 1900000000 2141 -1.885 1112 -1.895 2413 0.479
2022/07/15-12:17:37.699254 1900000000 1900000000 2142 -2.255 1114 -2.265 2414 0.480
2022/07/15-12:17:37.717412 1900000000 1900000000 2141 -1.243 1111 -1.254 2412 0.479
2022/07/15-12:17:37.744293 1900000000 1900000000 2141 -1.872 1115 -1.882 2414 0.480
2022/07/15-12:17:37.766166 1900000000 1900000000 2143 2.558 1109 2.548 2414 0.478
2022/07/15-12:17:37.788765 1900000000 1900000000 2139 0.600 1120 0.590 2415 0.482
2022/07/15-12:17:37.810902 1900000000 1900000000 2143 -2.883 1116 -2.893 2416 0.480
2022/07/15-12:17:37.839273 1900000000 1900000000 2142 -1.108 1113 -1.118 2414 0.479
2022/07/15-12:17:37.864527 1900000000 1900000000 2141 2.774 1118 2.763 2415 0.481
2022/07/15-12:17:37.882257 1900000000 1900000000 2141 2.968 1114 2.957 2414 0.480
2022/07/15-12:17:37.900410 1900000000 1900000000 2142 2.262 1113 2.251 2414 0.479
2022/07/15-12:17:37.926160 1900000000 1900000000 2141 -0.409 1117 -0.419 2415 0.481
2022/07/15-12:17:37.950385 1900000000 1900000000 2140 1.140 1117 1.130 2414 0.481
2022/07/15-12:17:37.971895 1900000000 1900000000 2141 -0.687 1116 -0.697 2415 0.481
2022/07/15-12:17:37.996691 1900000000 1900000000 2142 2.257 1117 2.247 2416 0.481
2022/07/15-12:17:38.013644 1900000000 1900000000 2141 -2.988 1113 -2.998 2413 0.480
2022/07/15-12:17:38.036917 1900000000 1900000000 2140 0.901 1114 0.890 2413 0.480
2022/07/15-12:17:38.059379 1900000000 1900000000 2141 2.052 1116 2.041 2414 0.481
2022/07/15-12:17:38.080362 1900000000 1900000000 2140 0.228 1118 0.218 2415 0.481
2022/07/15-12:17:38.113425 1900000000 1900000000 2142 -2.784 1114 -2.794 2414 0.480
2022/07/15-12:17:38.131475 1900000000 1900000000 2141 1.865 1115 1.854 2414 0.480
2022/07/15-12:17:38.149703 1900000000 1900000000 2142 -0.483 1115 -0.493 2414 0.480
2022/07/15-12:17:38.177254 1900000000 1900000000 2140 1.789 1116 1.779 2414 0.481
2022/07/15-12:17:38.195584 1900000000 1900000000 2142 2.440 1114 2.429 2414 0.480
