DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-10:47:17.449528 1900000000 1900000000 1466 2.274 598 -0.876 1583 0.387
2023/02/23-10:47:17.471114 1900000000 1900000000 1465 2.433 598 -0.717 1582 0.387
2023/02/23-10:47:17.499459 1900000000 1900000000 1464 0.466 599 -2.684 1582 0.389
2023/02/23-10:47:17.520215 1900000000 1900000000 1465 -1.127 598 2.006 1583 0.388
2023/02/23-10:47:17.541264 1900000000 1900000000 1464 0.247 599 -2.903 1581 0.388
2023/02/23-10:47:17.558094 1900000000 1900000000 1465 0.835 597 -2.315 1582 0.387
2023/02/23-10:47:17.584263 1900000000 1900000000 1463 -1.880 600 1.253 1581 0.389
2023/02/23-10:47:17.611861 1900000000 1900000000 1465 -1.199 597 1.934 1582 0.387
2023/02/23-10:47:17.634118 1900000000 1900000000 1466 -2.296 597 0.837 1583 0.387
2023/02/23-10:47:17.651363 1900000000 1900000000 1464 -2.866 600 0.268 1582 0.389
2023/02/23-10:47:17.676452 1900000000 1900000000 1465 -2.646 597 0.488 1582 0.387
2023/02/23-10:47:17.705975 1900000000 1900000000 1462 -0.502 602 2.632 1581 0.391
2023/02/23-10:47:17.729192 1900000000 1900000000 1464 1.077 599 -2.072 1582 0.388
2023/02/23-10:47:17.760488 1900000000 1900000000 1465 -0.073 598 3.060 1582 0.388
2023/02/23-10:47:17.782873 1900000000 1900000000 1463 2.850 601 -0.300 1582 0.390
2023/02/23-10:47:17.801358 1900000000 1900000000 1464 -2.243 600 0.890 1582 0.389
2023/02/23-10:47:17.820130 1900000000 1900000000 1465 -2.337 598 0.797 1582 0.388
2023/02/23-10:47:17.837147 1900000000 1900000000 1464 0.929 598 -2.222 1582 0.388
2023/02/23-10:47:17.861947 1900000000 1900000000 1463 2.940 599 -0.210 1581 0.388
2023/02/23-10:47:17.882414 1900000000 1900000000 1461 1.283 601 -1.867 1580 0.390
2023/02/23-10:47:17.903867 1900000000 1900000000 1460 0.893 602 -2.257 1579 0.391
