DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/24-10:59:56.202510 1900000000 1900000000 1527 1.305 252 -1.852 1547 0.164
2023/02/24-10:59:56.222155 1900000000 1900000000 1530 2.693 250 -0.463 1550 0.162
2023/02/24-10:59:56.252807 1900000000 1900000000 1528 1.688 250 -1.468 1548 0.162
2023/02/24-10:59:56.265754 1900000000 1900000000 1527 0.722 251 -2.434 1547 0.163
2023/02/24-10:59:56.286903 1900000000 1900000000 1526 -1.696 252 1.431 1547 0.164
2023/02/24-10:59:56.301334 1900000000 1900000000 1527 -1.266 253 1.862 1547 0.164
2023/02/24-10:59:56.328531 1900000000 1900000000 1526 -0.504 252 2.622 1547 0.163
2023/02/24-10:59:56.358276 1900000000 1900000000 1527 -0.363 253 2.763 1547 0.164
2023/02/24-10:59:56.381734 1900000000 1900000000 1527 -1.730 252 1.396 1547 0.164
2023/02/24-10:59:56.394397 1900000000 1900000000 1526 1.959 252 -1.197 1546 0.164
2023/02/24-10:59:56.422130 1900000000 1900000000 1527 -1.441 251 1.684 1548 0.163
2023/02/24-10:59:56.446656 1900000000 1900000000 1525 -1.174 255 1.953 1547 0.166
2023/02/24-10:59:56.469907 1900000000 1900000000 1525 -2.653 255 0.473 1546 0.166
2023/02/24-10:59:56.486304 1900000000 1900000000 1528 0.143 250 -3.014 1548 0.162
2023/02/24-10:59:56.505229 1900000000 1900000000 1524 0.066 256 -3.090 1545 0.166
2023/02/24-10:59:56.526686 1900000000 1900000000 1526 0.280 254 -2.876 1547 0.165
2023/02/24-10:59:56.546537 1900000000 1900000000 1524 0.029 257 -3.127 1545 0.167
2023/02/24-10:59:56.566588 1900000000 1900000000 1526 3.101 251 -0.056 1546 0.163
2023/02/24-10:59:56.594183 1900000000 1900000000 1524 -2.683 255 0.443 1545 0.166
2023/02/24-10:59:56.615007 1900000000 1900000000 1526 -2.041 253 1.087 1547 0.164
2023/02/24-10:59:56.635840 1900000000 1900000000 1525 1.340 253 -1.816 1545 0.164
