DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-11:55:40.391627 1900000000 1900000000 1609 -0.124 198 3.005 1621 0.123
2023/02/23-11:55:40.410394 1900000000 1900000000 1610 -0.459 197 2.671 1622 0.122
2023/02/23-11:55:40.435220 1900000000 1900000000 1612 -2.813 195 0.316 1624 0.120
2023/02/23-11:55:40.456750 1900000000 1900000000 1611 -1.540 198 1.590 1623 0.122
2023/02/23-11:55:40.475852 1900000000 1900000000 1610 -0.106 197 3.023 1622 0.121
2023/02/23-11:55:40.501985 1900000000 1900000000 1611 1.809 198 -1.345 1623 0.122
2023/02/23-11:55:40.522469 1900000000 1900000000 1612 2.219 192 -0.935 1623 0.119
2023/02/23-11:55:40.544362 1900000000 1900000000 1611 -0.332 197 2.797 1623 0.121
2023/02/23-11:55:40.570431 1900000000 1900000000 1609 -1.560 200 1.569 1622 0.124
2023/02/23-11:55:40.601699 1900000000 1900000000 1612 -2.093 197 1.035 1624 0.122
2023/02/23-11:55:40.618944 1900000000 1900000000 1609 0.201 198 -2.954 1622 0.122
2023/02/23-11:55:40.641839 1900000000 1900000000 1609 1.613 198 -1.542 1621 0.122
2023/02/23-11:55:40.663823 1900000000 1900000000 1609 2.246 198 -0.908 1621 0.122
2023/02/23-11:55:40.689668 1900000000 1900000000 1610 -1.116 197 2.013 1622 0.122
2023/02/23-11:55:40.717882 1900000000 1900000000 1609 -1.754 199 1.375 1621 0.123
2023/02/23-11:55:40.745033 1900000000 1900000000 1610 0.710 198 -2.444 1622 0.123
2023/02/23-11:55:40.762823 1900000000 1900000000 1610 -2.601 197 0.527 1622 0.122
2023/02/23-11:55:40.775084 1900000000 1900000000 1611 -2.771 195 0.358 1623 0.121
2023/02/23-11:55:40.797304 1900000000 1900000000 1610 -2.305 196 0.822 1622 0.121
2023/02/23-11:55:40.821228 1900000000 1900000000 1611 -1.714 195 1.415 1622 0.121
2023/02/23-11:55:40.856432 1900000000 1900000000 1609 1.332 197 -1.822 1621 0.122
2023/02/23-11:55:40.882254 1900000000 1900000000 1610 -1.340 197 1.790 1622 0.122
2023/02/23-11:55:40.902327 1900000000 1900000000 1609 -2.915 199 0.213 1621 0.123
2023/02/23-11:55:40.929185 1900000000 1900000000 1608 -1.055 200 2.074 1620 0.124
2023/02/23-11:55:40.950639 1900000000 1900000000 1609 1.833 200 -1.321 1621 0.123
2023/02/23-11:55:40.971108 1900000000 1900000000 1610 -0.972 198 2.158 1622 0.122
2023/02/23-11:55:40.994510 1900000000 1900000000 1609 1.123 197 -2.030 1621 0.122
2023/02/23-11:55:41.010029 1900000000 1900000000 1608 -1.150 201 1.978 1620 0.124
2023/02/23-11:55:41.029394 1900000000 1900000000 1609 -2.775 198 0.354 1621 0.123
2023/02/23-11:55:41.058532 1900000000 1900000000 1606 1.057 201 -2.097 1618 0.125
2023/02/23-11:55:41.079630 1900000000 1900000000 1605 1.669 204 -1.485 1618 0.126
2023/02/23-11:55:41.100580 1900000000 1900000000 1608 -2.654 199 0.475 1621 0.123
2023/02/23-11:55:41.122857 1900000000 1900000000 1607 0.311 203 -2.842 1619 0.126
2023/02/23-11:55:41.149677 1900000000 1900000000 1605 -0.118 202 3.012 1617 0.125
2023/02/23-11:55:41.167641 1900000000 1900000000 1604 -1.999 202 1.129 1617 0.125
2023/02/23-11:55:41.185433 1900000000 1900000000 1604 -0.725 205 2.405 1617 0.127
2023/02/23-11:55:41.214087 1900000000 1900000000 1605 0.711 203 -2.443 1617 0.126
2023/02/23-11:55:41.231337 1900000000 1900000000 1606 1.432 201 -1.722 1619 0.125
2023/02/23-11:55:41.254422 1900000000 1900000000 1606 1.143 202 -2.011 1618 0.125
2023/02/23-11:55:41.275941 1900000000 1900000000 1606 2.823 200 -0.331 1618 0.124
2023/02/23-11:55:41.294262 1900000000 1900000000 1607 2.457 200 -0.697 1619 0.124
2023/02/23-11:55:41.319456 1900000000 1900000000 1606 -0.807 200 2.322 1618 0.124
2023/02/23-11:55:41.341711 1900000000 1900000000 1606 0.675 200 -2.479 1618 0.124
2023/02/23-11:55:41.359988 1900000000 1900000000 1606 -3.018 202 0.111 1619 0.125
2023/02/23-11:55:41.382223 1900000000 1900000000 1605 -0.502 200 2.626 1618 0.124
2023/02/23-11:55:41.408596 1900000000 1900000000 1603 1.913 200 -1.241 1616 0.124
2023/02/23-11:55:41.433402 1900000000 1900000000 1601 -0.065 201 3.064 1613 0.125
2023/02/23-11:55:41.455769 1900000000 1900000000 1600 -2.170 200 0.960 1613 0.125
2023/02/23-11:55:41.472281 1900000000 1900000000 1597 1.407 200 -1.747 1610 0.124
2023/02/23-11:55:41.493963 1900000000 1900000000 1595 -3.133 200 -0.004 1607 0.125
2023/02/23-11:55:41.517787 1900000000 1900000000 1596 0.001 199 3.130 1608 0.124
2023/02/23-11:55:41.536768 1900000000 1900000000 1592 -0.833 199 2.295 1604 0.124
2023/02/23-11:55:41.558051 1900000000 1900000000 1592 -3.081 196 0.049 1604 0.123
2023/02/23-11:55:41.581800 1900000000 1900000000 1588 -0.208 201 2.921 1600 0.126
2023/02/23-11:55:41.597818 1900000000 1900000000 1586 -2.872 202 0.258 1599 0.127
2023/02/23-11:55:41.618183 1900000000 1900000000 1582 0.133 205 -3.022 1595 0.129
2023/02/23-11:55:41.643091 1900000000 1900000000 1578 0.533 211 -2.620 1592 0.133
2023/02/23-11:55:41.665535 1900000000 1900000000 1573 -2.148 215 0.981 1588 0.136
2023/02/23-11:55:41.690791 1900000000 1900000000 1569 2.263 219 -0.890 1584 0.139
2023/02/23-11:55:41.720877 1900000000 1900000000 1564 -0.682 225 2.448 1580 0.143
2023/02/23-11:55:41.743224 1900000000 1900000000 1561 -0.971 229 2.158 1578 0.146
2023/02/23-11:55:41.760024 1900000000 1900000000 1559 1.282 231 -1.872 1576 0.147
2023/02/23-11:55:41.789984 1900000000 1900000000 1556 -1.734 237 1.396 1574 0.151
2023/02/23-11:55:41.809377 1900000000 1900000000 1555 -1.545 238 1.586 1573 0.152
2023/02/23-11:55:41.835534 1900000000 1900000000 1553 2.615 240 -0.537 1571 0.153
2023/02/23-11:55:41.866595 1900000000 1900000000 1552 -0.077 239 3.053 1570 0.153
2023/02/23-11:55:41.902276 1900000000 1900000000 1551 -0.027 238 3.104 1569 0.152
2023/02/23-11:55:41.926198 1900000000 1900000000 1550 -2.640 238 0.489 1568 0.152
2023/02/23-11:55:41.950374 1900000000 1900000000 1549 -1.062 238 2.068 1567 0.153
2023/02/23-11:55:41.969030 1900000000 1900000000 1547 -0.466 237 2.662 1565 0.152
2023/02/23-11:55:41.997900 1900000000 1900000000 1547 -0.820 236 2.308 1565 0.151
2023/02/23-11:55:42.017365 1900000000 1900000000 1547 2.021 236 -1.132 1565 0.152
2023/02/23-11:55:42.036100 1900000000 1900000000 1547 0.991 233 -2.163 1564 0.150
2023/02/23-11:55:42.061828 1900000000 1900000000 1542 2.149 235 -1.004 1560 0.151
2023/02/23-11:55:42.087745 1900000000 1900000000 1545 1.160 231 -1.994 1562 0.148
2023/02/23-11:55:42.105231 1900000000 1900000000 1546 -2.469 228 0.661 1563 0.146
2023/02/23-11:55:42.130549 1900000000 1900000000 1544 -0.613 233 2.516 1561 0.149
2023/02/23-11:55:42.154605 1900000000 1900000000 1543 -1.757 232 1.372 1560 0.150
2023/02/23-11:55:42.182190 1900000000 1900000000 1542 -0.652 233 2.476 1559 0.150
2023/02/23-11:55:42.202961 1900000000 1900000000 1542 -2.917 230 0.212 1559 0.148
2023/02/23-11:55:42.226387 1900000000 1900000000 1541 0.767 233 -2.387 1558 0.150
2023/02/23-11:55:42.245729 1900000000 1900000000 1541 1.396 235 -1.758 1559 0.151
2023/02/23-11:55:42.269663 1900000000 1900000000 1542 2.188 235 -0.966 1560 0.151
2023/02/23-11:55:42.285260 1900000000 1900000000 1545 -0.266 237 2.863 1563 0.152
2023/02/23-11:55:42.309638 1900000000 1900000000 1547 -1.542 238 1.587 1566 0.153
2023/02/23-11:55:42.329684 1900000000 1900000000 1549 0.566 241 -2.587 1568 0.154
2023/02/23-11:55:42.352628 1900000000 1900000000 1550 1.382 241 -1.771 1569 0.154
2023/02/23-11:55:42.376342 1900000000 1900000000 1551 -2.630 243 0.500 1570 0.155
2023/02/23-11:55:42.397469 1900000000 1900000000 1552 -1.852 245 1.278 1571 0.157
