DATE FREQUENCY_TX FREQUENCY_RX MOD_I PHASE_I MOD_Q PHASE_Q MOD PHASE
2023/02/23-11:46:52.301281 1900000000 1900000000 1551 -1.760 236 1.368 1569 0.151
2023/02/23-11:46:52.326856 1900000000 1900000000 1552 0.445 235 -2.709 1570 0.150
2023/02/23-11:46:52.342805 1900000000 1900000000 1551 1.600 233 -1.554 1569 0.149
2023/02/23-11:46:52.362264 1900000000 1900000000 1551 -2.698 231 0.431 1568 0.148
2023/02/23-11:46:52.382775 1900000000 1900000000 1550 1.154 232 -2.001 1567 0.149
2023/02/23-11:46:52.401583 1900000000 1900000000 1551 -0.606 231 2.523 1568 0.148
2023/02/23-11:46:52.422557 1900000000 1900000000 1548 2.301 234 -0.854 1566 0.150
2023/02/23-11:46:52.440499 1900000000 1900000000 1549 -2.452 232 0.677 1566 0.149
2023/02/23-11:46:52.459152 1900000000 1900000000 1550 0.196 232 -2.958 1568 0.149
2023/02/23-11:46:52.479105 1900000000 1900000000 1551 -3.138 233 -0.009 1569 0.149
2023/02/23-11:46:52.497514 1900000000 1900000000 1553 2.884 231 -0.271 1570 0.148
2023/02/23-11:46:52.521355 1900000000 1900000000 1554 2.372 232 -0.783 1571 0.148
2023/02/23-11:46:52.542311 1900000000 1900000000 1556 0.114 236 -3.039 1573 0.150
2023/02/23-11:46:52.561157 1900000000 1900000000 1558 1.908 235 -1.247 1575 0.150
2023/02/23-11:46:52.582980 1900000000 1900000000 1559 0.376 237 -2.778 1577 0.151
2023/02/23-11:46:52.599410 1900000000 1900000000 1560 2.513 245 -0.640 1579 0.156
2023/02/23-11:46:52.636338 1900000000 1900000000 1562 -0.874 245 2.255 1581 0.156
2023/02/23-11:46:52.656331 1900000000 1900000000 1563 -0.337 250 2.793 1583 0.159
2023/02/23-11:46:52.681299 1900000000 1900000000 1565 1.325 254 -1.827 1586 0.161
2023/02/23-11:46:52.698528 1900000000 1900000000 1568 -1.847 254 1.283 1589 0.161
2023/02/23-11:46:52.724413 1900000000 1900000000 1568 0.468 261 -2.685 1589 0.165
2023/02/23-11:46:52.737574 1900000000 1900000000 1570 2.099 260 -1.054 1591 0.164
2023/02/23-11:46:52.766251 1900000000 1900000000 1571 -2.707 263 0.423 1593 0.166
2023/02/23-11:46:52.788701 1900000000 1900000000 1572 1.792 268 -1.361 1594 0.169
2023/02/23-11:46:52.814159 1900000000 1900000000 1573 1.852 272 -1.300 1597 0.171
2023/02/23-11:46:52.844867 1900000000 1900000000 1575 2.321 273 -0.831 1599 0.172
2023/02/23-11:46:52.864477 1900000000 1900000000 1576 2.009 274 -1.144 1599 0.172
2023/02/23-11:46:52.887205 1900000000 1900000000 1577 -1.357 273 1.773 1601 0.171
2023/02/23-11:46:52.911085 1900000000 1900000000 1575 -1.274 277 1.857 1599 0.174
2023/02/23-11:46:52.933605 1900000000 1900000000 1574 -3.070 277 0.060 1598 0.174
2023/02/23-11:46:52.953599 1900000000 1900000000 1576 -1.826 274 1.305 1599 0.172
2023/02/23-11:46:52.975934 1900000000 1900000000 1577 0.507 275 -2.645 1601 0.173
2023/02/23-11:46:52.995338 1900000000 1900000000 1576 -2.573 276 0.558 1600 0.173
2023/02/23-11:46:53.028184 1900000000 1900000000 1577 -0.175 272 2.956 1600 0.171
2023/02/23-11:46:53.046535 1900000000 1900000000 1576 -1.582 268 1.549 1598 0.169
2023/02/23-11:46:53.074012 1900000000 1900000000 1575 1.594 266 -1.558 1597 0.167
2023/02/23-11:46:53.088722 1900000000 1900000000 1573 2.152 262 -1.000 1595 0.165
2023/02/23-11:46:53.111825 1900000000 1900000000 1569 -0.719 263 2.411 1591 0.166
2023/02/23-11:46:53.131171 1900000000 1900000000 1566 -1.905 262 1.226 1588 0.166
2023/02/23-11:46:53.152313 1900000000 1900000000 1565 1.630 259 -1.523 1586 0.164
2023/02/23-11:46:53.176737 1900000000 1900000000 1564 -0.460 251 2.671 1584 0.159
2023/02/23-11:46:53.198717 1900000000 1900000000 1565 0.090 245 -3.063 1584 0.155
2023/02/23-11:46:53.229664 1900000000 1900000000 1562 -3.095 240 0.035 1581 0.152
2023/02/23-11:46:53.242578 1900000000 1900000000 1563 1.398 234 -1.756 1581 0.149
2023/02/23-11:46:53.265365 1900000000 1900000000 1563 -1.332 233 1.798 1580 0.148
